"Density","Momentum:0","Momentum:1","Momentum:2","StagnationEnergy","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
1.0083,2.9837,0.00021918,0.012361,6.196,0.1698,9.8134e-05,-0.010607,0.1224,3.6714e-05,0.00060444,-7.9402e-05,-0.99894,0.046046,-1.3559,0.23742,1.9899
1.033,3.0162,0.00063033,0.0079771,6.3027,0.25515,-0.0039079,0.072874,-0.052316,-0.00010952,-0.004031,-8.4911e-05,-0.99895,0.0459,-1.1012,0.23748,1.9907
0.99638,2.9598,-0.00062454,0.012814,6.1416,0.33336,-0.0040543,-0.075073,-0.20001,-0.00045892,-0.0049043,-0.0004767,-0.99896,0.04555,-0.86536,0.23746,1.9916
1.035,2.9914,-0.0023658,0.013584,6.2975,0.38111,0.024255,-0.11851,0.018044,7.2721e-06,0.02443,-0.00025409,-0.99894,0.046016,-0.72403,0.23739,1.9922
1.0034,2.9921,0.0047822,0.017373,6.1815,0.41451,-0.0092643,-0.15179,0.10727,0.00026694,-0.0088839,0.0075289,-0.9989,0.046321,-0.6241,0.23743,1.9927
1.8985,3.4611,0.2247,0.038389,9.8891,0.48644,0.023401,-0.063106,2.4635,0.0016208,0.046527,0.054936,-0.99733,0.048091,-0.40893,0.24071,1.9944
2.4266,3.4057,0.44486,0.042815,12.294,0.50063,-0.016505,-0.10682,4.744,0.002156,0.028933,0.12737,-0.99062,0.049482,-0.35996,0.24542,1.995
2.7925,3.2411,0.66866,0.045563,14.091,0.50979,-0.02705,-0.24577,5.954,0.0023152,0.0058235,0.20382,-0.9777,0.050656,-0.32893,0.25046,1.9954
3.1413,3.0098,0.93521,0.049472,15.873,0.51875,-0.05698,-0.43147,6.2961,0.0019668,-0.083603,0.29877,-0.95292,0.051761,-0.30022,0.25783,1.9959
3.4716,2.7923,1.2352,0.054747,17.564,0.52864,-0.14982,-0.67645,6.7848,0.00012281,-0.28897,0.38983,-0.91944,0.051539,-0.27102,0.26876,1.9964
3.6258,2.7147,1.3765,0.060825,18.335,0.53474,-0.27348,-1.2405,0.83743,-0.0031605,-0.78806,0.44775,-0.89279,0.049398,-0.25422,0.27678,1.9967
3.7054,2.6911,1.4773,0.073066,18.711,0.54186,-0.26889,-1.2159,0.62664,-0.0088297,-0.80571,0.49985,-0.86493,0.045095,-0.23508,0.2869,1.9972
3.8255,2.7059,1.9251,0.1231,19.315,0.57495,0.15815,-1.0864,-1.9009,-0.031612,-0.571,0.56683,-0.82346,0.024759,-0.1493,0.34122,2.0004
3.733,2.6911,2.1221,0.13585,18.885,0.59028,0.16823,-0.9137,-0.50876,-0.039464,-0.45349,0.61642,-0.78719,0.019248,-0.10857,0.37172,2.0023
3.6511,2.7543,2.3408,0.14759,18.601,0.60485,0.13169,-0.78691,-0.57546,-0.045916,-0.4324,0.64517,-0.7639,0.014275,-0.069987,0.4034,2.0043
3.5492,2.8838,2.5512,0.16901,18.269,0.61827,-0.36755,-1.387,-0.032253,-0.056834,-1.1945,0.66037,-0.75093,0.0041552,-0.033399,0.43526,2.0064
3.4283,3.0178,2.6716,0.18963,17.799,0.63042,-0.66328,-1.3676,-2.0027,-0.073184,-1.4957,0.66172,-0.74966,-0.012125,0.0015777,0.46635,2.0085
3.2751,3.1404,2.6935,0.20288,17.09,0.64243,-0.8683,-1.2584,-3.7307,-0.092122,-1.6593,0.65216,-0.75742,-0.031676,0.037997,0.4982,2.0108
3.1563,3.2316,2.6597,0.20749,16.497,0.65108,-0.93649,-1.1354,-5.34,-0.10669,-1.7072,0.60846,-0.79207,-0.048987,0.065374,0.52126,2.0126
2.5726,3.6144,2.0549,0.19182,13.648,0.69795,-0.2729,-0.66874,-5.4632,-0.16588,-0.81894,0.50006,-0.85844,-0.11409,0.22656,0.63263,2.022
2.0167,3.6023,1.3954,0.16299,11.043,0.74493,-0.11568,-0.21107,-6.1217,-0.1955,-0.442,0.3861,-0.91032,-0.14912,0.40316,0.71574,2.0307
1.8727,3.5369,1.2201,0.15219,10.37,0.76046,-0.16629,-0.17915,-6.0346,-0.20251,-0.46071,0.32567,-0.93206,-0.15874,0.45951,0.73632,2.0332
1.6947,3.4207,0.99595,0.14213,9.5105,0.78088,0.079689,-0.13899,-6.2752,-0.20939,-0.21251,0.28512,-0.94379,-0.16722,0.53229,0.75955,2.0362
1.5525,3.2844,0.82531,0.13581,8.8105,0.80054,-0.028832,-0.12915,-6.6173,-0.21466,-0.32456,0.24528,-0.9537,-0.17406,0.59988,0.77785,2.039
1.4106,3.1303,0.63916,0.12549,8.0981,0.82456,-0.094512,-0.029734,-6.6606,-0.22289,-0.35989,0.20567,-0.96121,-0.18376,0.67917,0.79598,2.0423
1.2887,2.9572,0.47807,0.1168,7.4407,0.84966,-0.014168,-0.017102,-5.5636,-0.23033,-0.23347,0.16644,-0.96705,-0.19263,0.75804,0.8105,2.0454
1.2122,2.8368,0.36993,0.11167,7.0066,0.87044,-0.02722,-0.025158,-5.0635,-0.23512,-0.22773,0.12017,-0.97257,-0.19914,0.81964,0.81941,2.0478
1.0437,2.5391,0.12967,0.090352,6.0486,0.94246,-0.048071,0.12629,-3.4903,-0.24928,-0.1655,0.063353,-0.97452,-0.21516,1.0249,0.83714,2.0556
0.98103,2.4275,0.046682,0.07831,5.7036,1.0261,-0.148,0.21374,-1.0165,-0.26359,-0.17656,0.028886,-0.97269,-0.23031,1.2374,0.84311,2.0627
0.9689,2.4071,0.033574,0.074962,5.6378,1.0615,-0.19959,0.30659,-0.25008,-0.27031,-0.20298,0.022116,-0.97123,-0.2371,1.3234,0.8445,2.0655
0.9479,2.3612,0.033853,0.061359,5.5284,1.1623,-0.11251,0.37301,0.17948,-0.2857,-0.10245,0.019827,-0.9675,-0.25209,1.5659,0.84794,2.0724
0.93009,2.3342,0.027332,0.038502,5.4404,1.265,-0.10343,0.50862,0.020271,-0.29595,-0.097121,0.015577,-0.96492,-0.26208,1.8085,0.85114,2.0776
0.9056,2.2912,0.020085,0.0098797,5.3133,1.3814,-0.1089,0.56918,-0.16246,-0.30769,-0.1046,0.009592,-0.96183,-0.27346,2.0803,0.85389,2.0805
0.86656,2.2094,0.012821,-0.026211,5.0983,1.5193,-0.11524,0.53012,-0.2779,-0.32241,-0.10886,0.0022745,-0.95776,-0.28756,2.3962,0.8562,2.0793
0.82992,2.1376,0.0074889,-0.062182,4.9002,1.6622,-0.12003,0.54337,-0.29771,-0.33801,-0.10942,-0.0055632,-0.95319,-0.30231,2.712,0.85764,2.0729
0.78525,2.0514,0.0014726,-0.10671,4.6598,1.8399,-0.12673,0.59104,-0.29319,-0.35758,-0.1109,-0.015586,-0.94711,-0.32052,3.0916,0.85845,2.0576
0.75213,1.9739,0.00019982,-0.13547,4.4667,2.0052,-0.054794,0.34281,-0.021916,-0.37113,-0.05313,-0.022428,-0.94268,-0.33293,3.4305,0.85854,2.0371
0.71438,1.8827,0.0027859,-0.16918,4.2426,2.2428,0.05597,0.011509,0.35913,-0.37464,0.023621,-0.027723,-0.94151,-0.33583,3.8991,0.8588,1.9998
0.73059,1.9226,0.017654,-0.16031,4.3393,2.4915,0.0024236,-0.23055,0.15488,-0.37326,-0.012564,-0.01909,-0.94192,-0.33529,4.3673,0.86116,1.9582
0.76933,2.0167,0.03693,-0.1329,4.5704,2.7994,-0.10777,-0.37038,-0.28124,-0.38995,-0.095792,-0.0073968,-0.93602,-0.35188,4.9597,0.86938,1.9139
0.78309,2.0457,0.040251,-0.11558,4.6476,2.9664,-0.14042,-0.3878,-0.33176,-0.40872,-0.12908,-0.0033789,-0.92916,-0.36965,5.2966,0.87602,1.8933
0.79166,2.0494,0.033536,-0.077543,4.6769,3.338,-0.075244,-0.32693,-0.22677,-0.44607,-0.071952,-0.00024217,-0.91463,-0.40429,6.0571,0.88978,1.8575
0.80195,2.0701,0.028482,-0.049258,4.7292,3.7095,-0.1012,-0.24913,-0.25292,-0.47775,-0.098572,0.002287,-0.90132,-0.43314,6.8186,0.90105,1.835
0.82564,2.1587,0.026699,-0.036857,4.8926,4.1853,-0.12171,-0.25095,-0.1748,-0.53018,-0.1218,0.0026372,-0.87737,-0.4798,7.8038,0.91395,1.815
0.83465,2.1993,0.02381,-0.027094,4.96,4.6417,-0.13209,-0.23287,-0.2537,-0.58798,-0.13147,0.002648,-0.84819,-0.52969,8.7891,0.92536,1.8009
0.80655,2.1137,0.019698,-0.019764,4.7867,5.2246,-0.11818,-0.14938,-0.82987,-0.65888,-0.1118,0.0021096,-0.80853,-0.58845,10.071,0.93822,1.787
0.78815,2.0593,0.017608,-0.014547,4.6753,5.8311,-0.108,-0.079843,-1.2619,-0.72304,-0.099764,0.0022306,-0.76914,-0.63908,11.353,0.9495,1.7769
0.79364,2.0788,0.018465,-0.01627,4.7097,6.6435,-0.1078,-0.086227,-1.267,-0.80363,-0.098641,0.00079276,-0.7152,-0.69892,13.026,0.96408,1.7644
1.0099,2.9829,-0.0003257,0.009058,6.2022,0,0.00068192,-0.056193,-0.019477,0,0.00062891,-0.00044501,-0.99532,0.096642,-2.1037,0.42504,2.0036
1.015,2.9807,-0.00066112,0.0080807,6.2171,0.106,0.0073455,-0.0073882,-0.035644,0.0004176,0.0072505,-0.00044613,-0.99528,0.097057,-1.7875,0.42498,2.0045
